Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID
National,2019-01-01,,,,,77433867,248733553,897784368,241667151,234284795,108078903,129670778,116904343,40432062,15686639,7525563,1806022,1728112,00-00000-20190101
National,2019-01-02,,,,,61305201,264862219,1139452281,291276735,285887315,138039296,171637514,167412698,56148976,17739183,7817044,1962301,1531219,00-00000-20190102
National,2019-01-03,,,,,63050480,263116940,1162752684,296375014,290074425,140771581,175775410,172027487,57632422,18366626,8124548,2038099,1567072,00-00000-20190103
National,2019-01-04,,,,,61803652,264363768,1181953829,293159631,295643296,145251819,181324645,176144493,58761592,19315785,8687318,2096065,1569185,00-00000-20190104
National,2019-01-05,,,,,64389745,261777675,1180476620,295459014,304168709,148540651,180941769,165239790,54842134,19363939,8490791,1991159,1438664,00-00000-20190105
National,2019-01-06,,,,,66498949,259668471,1073940581,268535036,285817694,136432949,163231150,144091310,46931537,17418975,8160971,1917898,1403061,00-00000-20190106
National,2019-01-07,,,,,62840591,263326829,1144741952,301592063,286444719,137699110,169846852,165178406,55660657,17491604,7584683,1815569,1428289,00-00000-20190107
National,2019-01-08,,,,,63064293,263103127,1141497715,299541016,285368410,136696978,169468215,166322929,55968279,17369502,7471402,1856802,1434182,00-00000-20190108
National,2019-01-09,,,,,62305155,263862265,1135628554,291070223,285839600,137586966,170647903,166169173,55640198,17543261,7709071,1923976,1498183,00-00000-20190109
National,2019-01-10,,,,,61355771,264811649,1161334504,297556678,290556495,140392680,174998777,171169293,57136281,18087977,7940284,1975790,1520249,00-00000-20190110
National,2019-01-11,,,,,59834641,266332779,1184885473,295273737,297378068,145572753,181250583,175850109,58430729,19057189,8515550,2035490,1521265,00-00000-20190111
National,2019-01-12,,,,,63296966,262870454,1182862624,296713405,306038693,148874313,180918787,164952150,54516839,19155431,8351726,1941597,1399683,00-00000-20190112
National,2019-01-13,,,,,65948772,260218648,1078662870,270508532,288192412,137008634,163602272,144148595,46690008,17211139,8047182,1882036,1372060,00-00000-20190113
National,2019-01-14,,,,,61722485,264444935,1145155833,298317431,287269097,138304328,170770204,165997057,55849495,17633915,7701540,1856021,1456745,00-00000-20190114
National,2019-01-15,,,,,61673843,264493577,1142410683,298675479,286019214,136884608,169916779,166784833,56004505,17370369,7462159,1859764,1432973,00-00000-20190115
National,2019-01-16,,,,,60899469,265267951,1139136441,291561370,285734009,137771736,171452092,167448291,56190881,17703086,7788977,1955532,1530467,00-00000-20190116
National,2019-01-17,,,,,60839618,265327802,1162089560,297062208,289768260,140493894,175350036,171748098,57611883,18342675,8110617,2037130,1564759,00-00000-20190117
National,2019-01-18,,,,,60749716,265417704,1182335150,293681261,295908234,145287965,181237789,175936819,58682165,19265681,8668062,2097773,1569401,00-00000-20190118
